determiner,noun,verb,adjective,adverb,preposition,conjunction,punctuation
little,anyone,admired,ancient,absolutely,across from,after,
several,apple,advised,bold,accidentally,after,although,
some,ball,agreed,brave,adventurously,against,although,""""
the,bird,allowed,bright,aggressively,ahead of,and,.
any,cat,answered,calm,amazingly,along,as,-
all,cat,apologised,charming,angrily,amid,as long as,
both,chair,applauded,cheerful,anxiously,among,as soon as,
,desk,arranged,clever,arrogantly,apart from,as well as,
,dog,arrested,colourful,awkwardly,around,assuming that,
,dog,arrived,curious,badly,as far as,barely,
my,elephant,asked,dangerous,beautifully,as of,because,
half,elephant,assumed,dangerous,bitterly,at,because,
your,everyone,ate,dark,blindly,because of,before,
,everything,ate,delicate,boastfully,before,both and,
a,fish,attacked,dirty,boldly,behind,but,?
,fish,baked,early,briskly,below,but also,
,floor,balanced,easy,broadly,beneath,but also,
,garden,began,elegant,busily,beneath,either or,
,giraffe,begged,excited,cautiously,beside,even as,
such,giraffe,believed,famous,cleverly,beside,even if,
his,hat,bit,fancy,closely,between,even though,
what,he,blamed,fast,comfortably,by,even though,
,her,blushed,ferocious,completely,by means of,even when,
those,herself,boiled,fierce,continually,close to,for,:
,him,booed,fresh,coolly,concerning,given that,
,himself,borrowed,friendly,courageously,despite,hardly,
that,house,bought,funny,creatively,down,however,;
her,i,bounced,gentle,cruelly,due to,if,
,ice cream,broke,gentle,daringly,during,if and only if,
which,island,brushed,giant,decisively,except,if only,
whose,it,built,gloomy,deeply,far from,in case,
,itself,built,graceful,defiantly,for,in case that,
no,jacket,burned,green,delightfully,from,in order that,
,jar,calculated,grumpy,desperately,in,just as,
,kite,called,happy,devotedly,in addition to,just if,
,kite,called,heavy,differently,in front of,lest,
,lamp,carried,high,diligently,in place of,much as,
,lion,carried,honest,dimly,in regard to,neither nor,
,lion,caught,huge,doubtfully,in spite of,no sooner,
,me,caught,hungry,dramatically,inside,not only,
,moon,celebrated,invisible,dutifully,instead of,not only,
,mountain,chased,jolly,easily,into,now that,
,myself,checked,kind,elegantly,like,on condition that,
its,notebook,cheered,lazy,elsewhere,near,once,
,ocean,chewed,light,enthusiastically,near,once when,
,ourselves,chopped,lively,entirely,next to,only if,
this,penguin,chose,lonely,equally,of,or,!
,queen,cleaned,lonely,especially,off,otherwise,
,rabbit,cleaned,loud,eventually,on,provided that,
,river,climbed,low,exactly,on account of,rather than,
,she,climbed,magical,excellently,on behalf of,rather than,
,someone,closed,massive,exceptionally,onto,scarcely,
our,something,collected,mighty,excessively,out,since,
an,sun,commanded,mighty,excitedly,outside,so,","
,that,compared,modern,expertly,over,so as to,
,them,complained,mysterious,faintly,over,so that,
,themselves,composed,narrow,faithfully,past,such that,
,these,confessed,neat,famously,regarding,supposing,
,they,confirmed,nervous,fantastically,since,than,
,this,considered,noisy,far,through,that,
these,those,consulted,obedient,fast,through,then,'
their,tiger,cooked,odd,fatally,throughout,though,
each,tree,corrected,old,fiercely,to,unless,
every,umbrella,coughed,playful,finely,toward,until,
either,us,counted,pleasant,firmly,towards,when,
neither,violin,created,polite,foolishly,under,whenever,
another,we,created,powerful,fortunately,underneath,where,
,whale,cried,proud,frankly,until,whereas,
,what,criticised,quick,frantically,up,whereupon,
much,which,cut,quick,freely,upon,wherever,
,who,cycled,quick-witted,frequently,with,wherever,
,whoever,danced,quiet,frightfully,with,whether,
,whom,danced,rare,fully,within,whether or not,
many,whomever,dared,red,generously,without,while,
,whose,decided,regular,gently,,while,
,xylophone,decorated,relaxed,gladly,,while yet,
few,yacht,decorated,responsible,gracefully,,yet,
,you,decorated,rough,gradually,,,
,yourself,defended,round,greatly,,,
,yourselves,defined,rude,greedily,,,
,zebra,delivered,sad,happily,,,
,zebra,delivered,sharp,hard,,,
,,departed,shiny,hastily,,,
,,designed,shiny,healthily,,,
,,designed,short,heartily,,,
,,destroyed,silly,heavily,,,
,,died,simple,helpfully,,,
,,discovered,sleepy,helplessly,,,
,,doubted,slow,honestly,,,
,,dragged,smart,hungrily,,,
,,drank,smooth,hurriedly,,,
,,drank,soft,immediately,,,
,,dreamed,soft,impatiently,,,
,,dressed,square,impressively,,,
,,drew,steady,inappropriately,,,
,,drew,stealthy,incredibly,,,
,,dripped,strange,independently,,,
,,dropped,striped,indifferently,,,
,,dropped,strong,indignantly,,,
,,drove,strong,indiscreetly,,,
,,drove,sturdy,inevitably,,,
,,dusted,sunny,infrequently,,,
,,educated,surprised,innocently,,,
,,encouraged,sweet,inquisitively,,,
,,ended,sweet,instantly,,,
,,engraved,swift,instinctively,,,
,,entered,tall,intensely,,,
,,entertained,tame,intentionally,,,
,,escaped,thick,invariably,,,
,,examined,thin,irritably,,,
,,exercised,tiny,joyfully,,,
,,exited,tiny,keenly,,,
,,expanded,tough,kindly,,,
,,expected,truthful,knowingly,,,
,,explained,ugly,lazily,,,
,,explored,ugly,lightly,,,
,,explored,unusual,likely,,,
,,faded,warm,limply,,,
,,failed,warm,lively,,,
,,feared,weak,loftily,,,
,,fell,weak,loudly,,,
,,filled,wet,lovingly,,,
,,finished,wide,loyally,,,
,,fixed,wild,majestically,,,
,,fixed,wild,meaningfully,,,
,,flashed,wise,mechanically,,,
,,fled,witty,merrily,,,
,,flew,wonderful,miserably,,,
,,flipped,wonderful,mockingly,,,
,,focused,yellow,mysteriously,,,
,,folded,young,naturally,,,
,,followed,,nearly,,,
,,forced,,neatly,,,
,,forgave,,nervously,,,
